Parts;Zone;Annee;Seuil
1;France;2018;27000
1,25;France;2018;31000
1,5;France;2018;35000
1,75;France;2018;39000
2;France;2018;43000
2,25;France;2018;46000
2,5;France;2018;49000
2,75;France;2018;52000
3;France;2018;55000
0,5;France;2018;3000
