Parts;Zone;Annee;Seuil
1;France;2018;28000
1,25;France;2018;32250
1,5;France;2018;36500
1,75;France;2018;40750
2;France;2018;45000
2,25;France;2018;48000
2,5;France;2018;51000
2,75;France;2018;54000
3;France;2018;57000
0,5;France;2018;6000
